SOT,Result,Poss
8,W,50.0
9,W,65.0
7,D,65.0
9,W,56.0
10,W,59.0
4,D,67.0
4,D,49.0
8,W,75.0
8,W,62.0
3,D,58.0
5,L,69.0
9,W,62.0
6,W,64.0
7,W,67.0
5,W,66.0
5,W,62.0
8,W,74.0
5,D,56.0
4,L,63.0
6,D,46.0
13,W,68.0
7,W,57.0
11,W,64.0
4,W,66.0
8,W,69.0
15,W,63.0
5,W,68.0
9,W,48.0
3,W,51.0
3,W,73.0
5,D,45.0
5,W,71.0
4,W,82.0
10,W,64.0
3,D,64.0
6,W,60.0
5,W,70.0
8,W,63.0
6,W,49.0
6,W,61.0
8,W,66.0
8,L,69.0
5,D,58.0
5,W,62.0
5,W,72.0
2,D,46.0
13,W,56.0
3,D,60.0
6,W,60.0
5,D,74.0
11,W,75.0
8,W,64.0
2,D,77.0
2,D,72.0
1,L,66.0
3,D,65.0
6,L,72.0
7,W,50.0
5,W,67.0
1,L,63.0
3,L,56.0
4,L,62.0
6,L,71.0
8,W,60.0
1,L,54.0
3,L,63.0
4,W,47.0
7,W,64.0
10,W,65.0
5,D,39.0
9,D,68.0
6,W,54.0
8,W,47.0
6,W,76.0
3,W,59.0
5,W,69.0
7,W,57.0
6,W,63.0
5,W,52.0
7,W,63.0
9,W,74.0
3,W,45.0
4,W,70.0
8,W,51.0
2,D,66.0
13,W,67.0
6,W,73.0
5,W,45.0
4,W,60.0
7,W,44.0
5,W,58.0
9,W,73.0
6,W,68.0
6,W,59.0
3,W,62.0
7,W,74.0
7,W,67.0
5,W,53.0
6,W,53.0
5,W,70.0
9,W,62.0
6,W,63.0
7,W,69.0
1,L,70.0
6,W,74.0
3,D,69.0
7,W,73.0
3,L,53.0
4,W,70.0
8,W,56.0
9,D,71.0
8,L,69.0
7,W,50.0
6,W,74.0
8,W,64.0
6,W,63.0
8,W,69.0
4,W,49.0
10,W,40.0
4,W,61.0
4,D,53.0
2,D,49.0
2,W,52.0
7,W,78.0
4,D,39.0
7,W,71.0
7,W,63.0
3,W,58.0
12,W,73.0
4,W,59.0
11,W,64.0
6,W,61.0
8,W,74.0
10,W,48.0
5,L,51.0
3,W,70.0
9,W,70.0
3,D,72.0
2,D,73.0
9,W,65.0
3,D,64.0
10,W,62.0
3,D,57.0
5,W,67.0
6,W,62.0
3,W,48.0
5,W,67.0
7,W,62.0
6,W,75.0
7,W,69.0
4,W,69.0
5,W,59.0
4,D,54.0
13,W,71.0
10,W,48.0
3,L,34.0
9,D,71.0
6,W,55.0
5,D,67.0
5,D,62.0
7,L,63.0
8,W,72.0
7,W,52.0
8,W,61.0
4,D,53.0
7,W,59.0
6,W,57.0
3,D,79.0
5,D,70.0
7,W,56.0
4,D,46.0
9,W,55.0
6,W,61.0
5,W,58.0
7,W,36.0
4,L,71.0
7,W,74.0
3,D,34.0
4,W,48.0
12,W,67.0
3,W,70.0
2,L,67.0
10,W,58.0
6,W,67.0
1,D,61.0
7,W,61.0
6,D,61.0
2,D,71.0
5,L,68.0
11,W,72.0
7,W,49.0
5,L,80.0
4,D,51.0
11,W,62.0
5,W,47.0
12,W,74.0
6,W,59.0
3,D,65.0
7,W,68.0
10,W,55.0
17,W,60.0
0,D,65.0
7,W,77.0
3,L,60.0
3,D,68.0
4,W,63.0
4,W,68.0
6,W,64.0
1,W,43.0
5,D,71.0
3,D,44.0
5,L,74.0
3,D,62.0
5,L,72.0
9,W,51.0
7,L,69.0
7,W,52.0
3,W,65.0
3,D,41.0
6,W,51.0
8,D,67.0
4,W,56.0
2,W,64.0
1,L,72.0
8,W,60.0
8,D,65.0
11,W,67.0
10,W,74.0
