Player,Gls,Ast,SoT,Team,Total
Mohamed Salah,23,13,49,Liverpool,36
Son Heung-min,23,7,48,Tottenham Hotspur,30
Harry Kane,17,9,49,Tottenham Hotspur,26
Kevin De Bruyne,15,8,31,Manchester City,23
Cristiano Ronaldo,18,3,39,Manchester United,21
Diogo Jota,15,4,32,Liverpool,19
Sadio Mané,16,2,37,Liverpool,18
Raheem Sterling,13,5,25,Manchester City,18
Riyad Mahrez,11,5,18,Manchester City,16
Bruno Fernandes,10,6,29,Manchester United,16
Gabriel Jesus,8,8,20,Manchester City,16
Phil Foden,9,5,22,Manchester City,14
Trent Alexander-Arnold,2,12,15,Liverpool,14
Dejan Kulusevski,5,8,9,Tottenham Hotspur,13
Andrew Robertson,3,10,11,Liverpool,13
İlkay Gündoğan,8,4,18,Manchester City,12
Bernardo Silva,8,4,19,Manchester City,12
Paul Pogba,1,9,8,Manchester United,10
Roberto Firmino,5,4,11,Liverpool,9
Rodri,7,2,14,Manchester City,9
Lucas Moura,2,6,11,Tottenham Hotspur,8
Fred,4,4,9,Manchester United,8
João Cancelo,1,7,23,Manchester City,8
Jordan Henderson,2,5,6,Liverpool,7
Luis Díaz,4,3,13,Liverpool,7
Rúben Dias,2,4,3,Manchester City,6
Mason Greenwood,5,1,18,Manchester United,6
Fabinho,5,1,7,Liverpool,6
Marcus Rashford,4,2,12,Manchester United,6
Jack Grealish,3,3,16,Manchester City,6
Matt Doherty,2,4,6,Tottenham Hotspur,6
Joël Matip,3,3,7,Liverpool,6
Jadon Sancho,3,3,9,Manchester United,6
Sergio Reguilón,2,3,9,Tottenham Hotspur,5
Thiago Alcántara,1,4,6,Liverpool,5
Aymeric Laporte,4,0,7,Manchester City,4
Anthony Elanga,2,2,7,Manchester United,4
Steven Bergwijn,3,1,10,Tottenham Hotspur,4
Virgil van Dijk,3,1,14,Liverpool,4
Naby Keïta,3,1,7,Liverpool,4
Oleksandr Zinchenko,0,4,4,Manchester City,4
Rodrigo Bentancur,0,4,2,Tottenham Hotspur,4
Alex Telles,0,4,3,Manchester United,4
Nemanja Matić,0,4,1,Manchester United,4
Pierre Højbjerg,2,2,10,Tottenham Hotspur,4
Edinson Cavani,2,1,6,Manchester United,3
Luke Shaw,0,3,1,Manchester United,3
Alex Oxlade-Chamberlain,2,1,3,Liverpool,3
Fernandinho,2,1,3,Manchester City,3
Ferrán Torres,2,1,4,Manchester City,3
Takumi Minamino,3,0,0,Liverpool,3
Divock Origi,3,0,0,Liverpool,3
Ryan Sessegnon,0,2,1,Tottenham Hotspur,2
Emerson,1,1,4,Tottenham Hotspur,2
Davinson Sánchez,2,0,3,Tottenham Hotspur,2
Raphaël Varane,1,1,1,Manchester United,2
Tanguy Ndombele,1,1,3,Tottenham Hotspur,2
Jesse Lingard,2,0,6,Manchester United,2
Victor Lindelöf,0,2,2,Manchester United,2
Kostas Tsimikas,0,2,2,Liverpool,2
Scott McTominay,1,1,7,Manchester United,2
Curtis Jones,1,1,7,Liverpool,2
Kyle Walker,0,2,2,Manchester City,2
Ben Davies,1,1,7,Tottenham Hotspur,2
Nathan Aké,2,0,2,Manchester City,2
Donny van de Beek,1,0,1,Manchester United,1
Anthony Martial,1,0,2,Manchester United,1
Cristian Romero,1,0,2,Tottenham Hotspur,1
Alisson,0,1,0,Liverpool,1
Harry Maguire,1,0,10,Manchester United,1
Harry Winks,0,1,1,Tottenham Hotspur,1
Dele Alli,1,0,2,Tottenham Hotspur,1
Neco Williams,0,1,0,Liverpool,1
Joe Gomez,0,1,0,Liverpool,1
James Milner,0,1,2,Liverpool,1
John Stones,1,0,5,Manchester City,1
Oliver Skipp,0,0,1,Tottenham Hotspur,0
Japhet Tanganga,0,0,2,Tottenham Hotspur,0
Giovani Lo Celso,0,0,0,Tottenham Hotspur,0
Bryan,0,0,1,Tottenham Hotspur,0
Joe Rodon,0,0,0,Tottenham Hotspur,0
Eric Dier,0,0,4,Tottenham Hotspur,0
David de Gea,0,0,0,Manchester United,0
Hugo Lloris,0,0,0,Tottenham Hotspur,0
Alejandro Garnacho,0,0,0,Manchester United,0
Ibrahima Konaté,0,0,0,Liverpool,0
Harvey Elliott,0,0,1,Liverpool,0
Caoimhín Kelleher,0,0,0,Liverpool,0
Tyler Morton,0,0,0,Liverpool,0
Kaide Gordon,0,0,0,Liverpool,0
Ederson,0,0,0,Manchester City,0
Cole Palmer,0,0,1,Manchester City,0
Zack Steffen,0,0,0,Manchester City,0
Benjamin Mendy,0,0,0,Manchester City,0
James Mcatee,0,0,0,Manchester City,0
Liam Delap,0,0,0,Manchester City,0
Kayky Chagas,0,0,0,Manchester City,0
CJ Egan-Riley,0,0,0,Manchester City,0
Aaron Wan-Bissaka,0,0,1,Manchester United,0
Diogo Dalot,0,0,4,Manchester United,0
Eric Bailly,0,0,0,Manchester United,0
Juan Mata,0,0,1,Manchester United,0
Phil Jones,0,0,0,Manchester United,0
Daniel James,0,0,1,Manchester United,0
Hannibal Mejbri,0,0,1,Manchester United,0
Shola Shoretire,0,0,0,Manchester United,0
Dane Scarlett,0,0,0,Tottenham Hotspur,0
